Número,Valor estimado,Modalidade,Publicação,Tipo,Objeto,Abertura,Situação,Secretaria
0411.01/2022-SRP,295190.0,PREGÃO,2022-11-11,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PARA COMPOSIÇÃO DO KIT BEBÊ DESTINADOS A DOAÇAO PARA MUNÍCIPES EM VULNERABILIDADE SOCIAL, ATRAVÉS DA SECRETARIA DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE ACARAÚ/CE.",2022-11-29,FECHADA,SECRETARIA DE ASSISTÊNCIA SOCIAL
0311.01/2022-SRP,9018926.67,PREGÃO,2022-11-11,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE LOCAÇÃO DE EQUIPAMENTOS E ESTRUTURAS PARA EVENTOS DIVERSOS, ENVOLVENDO MONTAGEM/DESMONTAGEM, INSTALAÇÃO/DESINSTALAÇÃO E TRANSPORTE PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2022-11-25,FECHADA,SECRETARIAS DIVERSAS
2010.01/2022-SRP,7147187.04,PREGÃO,2022-10-25,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE SERVIÇOS NA LOCAÇÃO DE VEÍCULOS AUTOMOTORES, PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2022-11-09,FECHADA,SECRETARIA DE INFRAESTRUTURA
2709.01/2022-CP,3407400.0,CONCORRÊNCIA,2022-10-05,MENOR PREÇO,"REGISTRO DE PREÇOS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE SEINFRA ATUALIZADA COM DESONERAÇÃO, ACRESCIDA COM BDI DE 25,92% (VINTE E CINCO VÍRGULA NOVENTA E DOIS POR CENTO) PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DOS SISTEMAS DE ABASTECIMENTO DE ÁGUA, COM O FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE ACARAU, CONFORME CONDIÇÕES ESPECIFICADAS NO ANEXO PROJETO BÁSICO DESTE EDITAL, NO PERÍODO DE 12 MESES",2022-11-08,REVOGADA,SECRETARIA DE INFRAESTRUTURA
2408.01/2022-SRP,2883763.2,PREGÃO,2022-09-02,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE VEÍCULOS AUTOMOTORES NOVOS, 0 (ZERO) KM , TIPO PASSEIO PARA ATENDER AS NECESSIDADES DE DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2022-09-19,FECHADA,SECRETARIA DE INFRAESTRUTURA
2308.01/2022-SRP,1309661.0,PREGÃO,2022-08-25,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESA ESPECIALIZADA EM FORNECIMENTO DE ALIMENTAÇÃO PREPARADA (ALMOÇO, COFFE BREAK, LANCHE E QUENTINHA) E SERVIÇO DE BUFFET/DECORAÇÃO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",2022-09-14,FECHADA,SECRETARIA DE EDUCAÇÃO
1507.01/2022-CP,3338350.3,CONCORRÊNCIA,2022-08-10,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E ADEQUAÇÃO DO MERCADO PÚBLICO, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",2022-09-13,FECHADA,SECRETARIA DE INFRAESTRUTURA
2507.01/2022-CP,1632258.32,CONCORRÊNCIA,2022-08-03,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA DE UNIDADES BÁSICA DE SAÚDE - UBS´S, NOS BAIRROS E DISTRITOS DE JURITIANHA, MORADA NOVA, MONSENHOR SABINO, PAULO VI E ARANAÚ, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-09-08,FECHADA,SECRETARIA DE INFRAESTRUTURA
1008.01/2022-TP,474950.72,TOMADA DE PREÇOS,2022-08-18,MENOR PREÇO,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E TECNOLOGIA DA INFORMAÇÃO, PARA ELABORAÇÃO DE CADASTRO TÉCNICO MULTIFINALITÁRIO GEORREFERENCIADO ATRAVÉS DE PRODUTOS FOTOGRAMÉTRICOS, REALIZANDO A REVISÃO E ATUALIZAÇÃO DO CADASTRO IMOBILIÁRIO FISCAL URBANO COM A IMPLANTAÇÃO DE SISTEMA DE INFORMAÇÕES GEOGRÁFICAS, NO SETOR DE TRIBUTOS DO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.",2022-09-05,REVOGADA,SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS
1307.01/2022-CP,787999.81,CONCORRÊNCIA,2022-07-15,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE UMA UNIDADE BÁSICA DE SAÚDE - UBS, LOCALIDADE DE CASTELHANO, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-08-17,FECHADA,SECRETARIA DE INFRAESTRUTURA
0407.01/2022-PE,209688.68,PREGÃO,2022-07-14,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1220-01 DA PORTARIA N° 1.241/2022 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-07-27,FECHADA,SECRETARIA DE SAÚDE
2406.01/2022-TP,243032.89,TOMADA DE PREÇOS,2022-06-28,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO DOS POÇOS PROFUNDOS DOS SISTEMAS DE ABASTECIMENTO DE ÁGUA, JUNTO DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",2022-07-18,FECHADA,SECRETARIA DE INFRAESTRUTURA
1506.01/2022-PE,83733.36,PREGÃO,2022-06-22,MENOR PREÇO,AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO/SEGURANÇA INDIVIDUAL E KITS DE SINALIZAÇÃO (INSTALAÇÃO INCLUSA) PARA MOTOCICLETAS PARA USO DA GUARDA MUNICIPAL VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.,2022-07-14,FECHADA,SECRETARIA DE SEGURANÇA E TRÂNSITO
1406.01/2022-SRP,3695372.2,PREGÃO,2022-06-22,MENOR PREÇO,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE EQUIPAMENTOS E GASES MEDICINAIS PARA ATENDER AS NECESSIDADES DOS SERVIÇOS DE SAÚDE OFERTADOS PELA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAU/CE.,2022-07-12,FECHADA,SECRETARIA DE SAÚDE
2006.01/2022-PE,7901289.47,PREGÃO,2022-06-22,MENOR PREÇO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR DOS ALUNOS DA REDE DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.,2022-07-08,FECHADA,SECRETARIA DE EDUCAÇÃO
0306.01/2022-TP,788142.07,TOMADA DE PREÇOS,2022-06-15,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE TRÊS ARENINHAS NO MUNICÍPIO DE ACARAÚ, JUNTO DA SECRETARIA DE DESPORTO E JUVENTUDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-07-06,FECHADA,SECRETARIA DE ESPORTE E JUVENTUDE
1306.01/2022-SRP,854293.4,PREGÃO,2022-06-15,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE FÓRMULAS ALIMENTARES (DIETAS ENTERAIS, FÓRMULAS INFANTIS E COMPLEMENTOS ALIMENTARES) DESTINADOS A PACIENTES COM NECESSIDADES NUTRICIONAIS E PATOLOGIAS ASSOCIADAS, ACOMPANHADOS PELO PROGRAMA MELHOR CASA - EMAD, MANTIDO PELA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ-CE.",2022-07-01,FECHADA,SECRETARIA DE SAÚDE
0206.01/2022-PE,2987598.36,PREGÃO,2022-06-14,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES PARA IMPLANTAÇÃO E FUNCIONAMENTO DO SETOR DE IMAGEM E ENFERMARIAS DO HOSPITAL REGIONAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE COM O PLANO DE TRABALHO  MAAP Nº 4886 DO CONVÊNIO Nº 043/2022 - SESA, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-06-28,FECHADA,SECRETARIA DE SAÚDE
2005.01/2022-CP,4158440.95,CONCORRÊNCIA,2022-05-24,MENOR PREÇO,PAVIMENTAÇÃO ASFÁLTICA DE ESTRADA NAS LOCALIDADES DE SANTA FÉ E OLHOS D'ÁGUA NO MUNICÍPIO DE ACARAÚ/CE,2022-06-27,FECHADA,SECRETARIA DE INFRAESTRUTURA
1305.01/2022-SRP,161466.9,PREGÃO,2022-05-31,MENOR PREÇO,SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS DE PROTEÇÃO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.,2022-06-15,FECHADA,SECRETARIA DE SEGURANÇA E TRÂNSITO
1805.01/2022-SRP,1273890.7,PREGÃO,2022-05-27,MENOR PREÇO,SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.,2022-06-09,FECHADA,SECRETARIA DE EDUCAÇÃO
1205.01/2022-PE,438972.07,PREGÃO,2022-05-24,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1210-06 DA PORTARIA N° 2.436/2021 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",2022-06-08,FECHADA,SECRETARIA DE SAÚDE
1105.01/2022-PE,665400.58,PREGÃO,2022-05-24,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1210-09 DA PORTARIA N° 3.702/2021 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",2022-06-07,FECHADA,SECRETARIA DE SAÚDE
0205.01/2022-SRP,2323291.92,PREGÃO,2022-05-09,MENOR PREÇO,"SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE LIVROS DIDÁTICOS E PARADIDÁTICOS PARA USO DOS ALUNOS DO ENSINO FUNDAMENTAL DA REDE DE ENSINO MUNICIPAL E ATUALIZAÇÃO DE ACERVOS BIBLIOGRÁFICOS DAS UNIDADES DE ENSINO, JUNTO À SECRETARIA DA EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ-CE.",2022-05-26,REVOGADA,SECRETARIA DE EDUCAÇÃO
2504.01/2022-TP,32699.97,TOMADA DE PREÇOS,2022-05-09,MENOR PREÇO,"CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM TECNOLOGIA PARA LOCAÇÃO DE SISTEMA DE ACESSO REMOTO, INCLUINDO SUPORTE TÉCNICO PARA ATENDER A SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS DO MUNICIPIO DE ACARAÚ/CE.",2022-05-25,FECHADA,SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS
1804.01/2022-SRP,4665227.5,PREGÃO,2022-05-09,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAL DE CONSUMO ODONTOLÓGICO, VISANDO ATENDER AS NECESSIDADES DAS EQUIPES DE SAÚDE BUCAL DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",2022-05-24,FECHADA,SECRETARIA DE SAÚDE
0804.01/2022-CP,11222617.37,CONCORRÊNCIA,2022-04-11,MENOR PREÇO,"PAVIMENTAÇÃO ASFÁLTICA DE ESTRADA NAS LOCALIDADES DE ARANAÚ, AROEIRA E ILHA DOS COQUEIROS NO MUNICÍPIO DE ACARAÚ/CE.",2022-05-13,FECHADA,SECRETARIA DE INFRAESTRUTURA
0404.01/2022-CP,11936900.0,CONCORRÊNCIA,2022-04-11,MENOR PREÇO,"REGISTRO DE PREÇOS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE SEINFRA ATUALIZADA COM DESONERAÇÃO, ACRESCIDA COM BDI DE 25,92% (VINTE E CINCO VÍRGULA NOVENTA E DOIS POR CENTO) PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES FÍSICAS PREDIAIS, COM O FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE ACARAU, CONFORME CONDIÇÕES ESPECIFICADAS NO ANEXO PROJETO BÁSICO DESTE EDITAL, PARA O PERÍODO DE 12 MESES.",2022-05-12,FECHADA,SECRETARIA DE INFRAESTRUTURA
3003.01/2022-CP,5997996.31,CONCORRÊNCIA,2022-04-07,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, AMPLIAÇÃO, REFORMA, MODERNIZAÇÃO, EFICIÊNCIA ENERGÉTICA INCLUINDO GESTÃO DE SOFTWARE, CALL CENTER, GEORREFERENCIAMENTO E EMPLAQUETAMENTO DO PARQUE DE ILUMINAÇÃO COM ADMINISTRAÇÃO LOCAL E DEMAIS SERVIÇOS CONSTANTES NO TERMO DE REFERÊNCIA, NO SISTEMA DE ILUMINAÇÃO PÚBLICA (IP), DA SEDE E DOS DISTRITOS DO MUNICÍPIO DE ACARAÚ/CE.",2022-05-11,FECHADA,SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS
0704.01/2022-SRP,756105.52,PREGÃO,2022-04-18,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INSTALAÇÃO, CONSERTO E MANUTENÇÃO CORRETIVA/PREVENTIVA DE APARELHOS DE REFRIGERAÇÃO E ELETROELETRÔNICOS PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-05-05,FECHADA,SECRETARIA DE INFRAESTRUTURA
0504.01/2022-SRP,418492.66,PREGÃO,2022-04-18,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO E NA PRESTAÇÃO DE SERVIÇOS DE CONFECÇÃO DE FARDAMENTOS E ACESSÓRIOS PARA OS SERVIDORES DA GUARDA MUNICIPAL, DE RESPONSABILIDADE DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",2022-05-04,FECHADA,SECRETARIA DE SEGURANÇA E TRÂNSITO
1103.01/2022-SRP,488537.46,PREGÃO,2022-03-23,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS LABORATORIAIS E DE ANÁLISES CLÍNICAS, VISANDO ATENDER AS NECESSIDADES DO LABORATÓRIO DE MUNICÍPIO DE ACARAÚ/CE.",2022-04-25,FECHADA,SECRETARIA DE SAÚDE
1703.01/2022-TP,3218459.28,TOMADA DE PREÇOS,2022-03-24,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA E AMPLIAÇÃO DA E.E.I.E.F. PROFª TERESA DE JESUS SILVA - CENTRO, ACARAÚ/CE E DA E.E.I.E.F.ANTÔNIO INÁCIO FILHO - LOCALIDADE DE OLHOS D'ÁGUA, DISTRITO DE JURITIANHA NO MUNICÍPIO DE ACARAÚ/CE.",2022-04-18,FECHADA,SECRETARIA DE INFRAESTRUTURA
0703.01/2022-SRP,621270.2,PREGÃO,2022-03-23,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LABORATÓRIO DE ANÁLISES CLÍNICAS E EXAMES LABORATORIAIS NA COLETA, ANÁLISE E DIAGNÓSTICO DAS AMOSTRAS DE MATERIAIS COLETADOS, JUNTO A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-04-12,FECHADA,SECRETARIA DE SAÚDE
2502.01/2022-CP,17708250.0,CONCORRÊNCIA,2022-03-03,MENOR PREÇO,"REGISTRO DE PREÇOS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE SEINFRA ATUALIZADA COM DESONERAÇÃO, ACRESCIDA COM BDI DE 25,92% (VINTE E CINCO VÍRGULA NOVENTA E DOIS POR CENTO) PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES FÍSICAS PREDIAIS, COM O FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE ACARAU, CONFORME CONDIÇÕES ESPECIFICADAS NO ANEXO PROJETO BÁSICO DESTE EDITAL, PARA O PERÍODO DE 12 MESES.",2022-04-07,REVOGADA,SECRETARIA DE INFRAESTRUTURA
0803.01/2022-SRP,1912941.34,PREGÃO,2022-03-22,MENOR PREÇO,"SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE PNEUS, CÂMARAS DE AR E PROTETORES DESTINADOS À MANUTENÇÃO DA FROTA OFICIAL DE VEÍCULOS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",2022-04-06,FECHADA,SECRETARIA DE INFRAESTRUTURA
2202.01/2022-CP,3300384.64,CONCORRÊNCIA,2022-02-23,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA PRIMEIRA ETAPA DO CENTRO ADMINISTRATIVO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",2022-04-05,FECHADA,SECRETARIA DE INFRAESTRUTURA
2102.01/2022-CP,3338350.3,CONCORRÊNCIA,2022-02-23,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E ADEQUAÇÃO DO MERCADO PÚBLICO, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",2022-03-31,FECHADA,SECRETARIA DE INFRAESTRUTURA
1102.01/2022-CP,1945176.89,CONCORRÊNCIA,2022-02-23,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA URBANIZAÇÃO E REFORMA DA PRAÇA DA MATRIZ, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",2022-03-29,FECHADA,SECRETARIA DE INFRAESTRUTURA
1602.01/2022-SRP,3783651.55,PREGÃO,2022-02-25,MENOR PREÇO,SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.,2022-03-16,FECHADA,SECRETARIA DE EDUCAÇÃO
1702.01/2022-SRP,944867.66,PREGÃO,2022-02-25,MENOR PREÇO,SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS E MATERIAIS PERMANENTES DESTINADOS AOS EQUIPAMENTOS DA SECRETARIA DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE ACARAÚ/CE.,2022-03-14,FECHADA,SECRETARIA DE ASSISTÊNCIA SOCIAL
1102.02/2022-PE,1471130.71,PREGÃO,2022-02-22,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES PARA IMPLANTAÇÃO E FUNCIONAMENTO DO SETOR DE URGÊNCIA/EMERGÊNCIA DO HOSPITAL REGIONAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE COM O PLANO DE TRABALHO - MAAP N° 4620 DO CONVÊNIO N° 015/2021 - SESA, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-03-08,FECHADA,SECRETARIA DE SAÚDE
2401.01/2022-CP,1621330.7,CONCORRÊNCIA,2022-02-01,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE - UBS, TIPO I, LOCALIDADES DE ILHA DOS COQUEIROS E CAUASSÚ, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-03-07,FECHADA,SECRETARIA DE INFRAESTRUTURA
1801.01/2022-SRP,183940.02,PREGÃO,2022-01-28,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE VEÍCULOS NOVOS, 0 (ZERO) KM, TIPO MOTOCICLETA, DESTINADOS A GUARDA MUNICIPAL DE RESPONSABILIDADE DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",2022-02-28,FECHADA,SECRETARIA DE INFRAESTRUTURA
0612.01/2021-TP,258480.0,TOMADA DE PREÇOS,2022-01-25,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA EM GESTÃO DE POLÍTICAS PÚBLICAS NA ÁREA DE EDUCAÇÃO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",2022-02-18,FECHADA,SECRETARIA DE EDUCAÇÃO
1401.01/2022-SRP,89009.84,PREGÃO,2022-01-27,MENOR PREÇO,"SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS LÚDICOS, PEDAGÓGICOS E ESPORTIVOS PARA ATENDER ÀS NECESSIDADES DAS EQUIPES DO NASF (NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA), JUNTO À SECRETARIA DA SAÚDE DO MUNICÍPIO DE ACARAÚ-CE",2022-02-10,FECHADA,SECRETARIA DE SAÚDE
1101.01/2022-PE,10337917.9,PREGÃO,2022-01-21,MENOR PREÇO,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO ATENDIMENTO DOS PROGRAMAS DE DISTRIBUIÇÃO DE MERENDA ESCOLAR DA REDE PÚBLICA DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.,2022-02-04,FECHADA,SECRETARIA DE EDUCAÇÃO
0301.01/2022-SRP,2884296.35,PREGÃO,2022-01-10,MENOR PREÇO,"SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE COLEÇÕES E LIVROS DIDÁTICOS DA EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL E DE LIVROS E KITS DIDÁTICOS PARA PROFESSORES DA REDE DE ENSINO MUNICIPAL, JUNTO À SECRETARIA DA EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ-CE.",2022-01-26,FECHADA,SECRETARIA DE EDUCAÇÃO
0601.01/2022-SRP,10345240.0,PREGÃO,2022-01-10,MENOR PREÇO,REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE COMBUSTÍVEIS DERIVADOS DE PETRÓLEO E ARLA 32 PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.,2022-01-25,FECHADA,SECRETARIAS DIVERSAS
2012.02/2021-SRP,2010745.71,PREGÃO,2022-01-06,MENOR PREÇO,"SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS E MATERIAIS PERMANENTES DESTINADOS AS UNIDADES BASICAS DE SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2022-01-24,FECHADA,SECRETARIA DE SAÚDE
