Número,"Valor estimado",Modalidade,Publicação,Tipo,Objeto,Abertura,Situação
1507.01/2022-CP,"3.338.350,30",CONCORRÊNCIA,10/08/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E ADEQUAÇÃO DO MERCADO PÚBLICO, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",13/09/2022,FECHADA
2507.01/2022-CP,"1.632.258,32",CONCORRÊNCIA,03/08/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA DE UNIDADES BÁSICA DE SAÚDE - UBS´S, NOS BAIRROS E DISTRITOS DE JURITIANHA, MORADA NOVA, MONSENHOR SABINO, PAULO VI E ARANAÚ, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",08/09/2022,FECHADA
1008.01/2022-TP,"474.950,72","TOMADA DE PREÇOS",18/08/2022,"MENOR PREÇO","CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA E TECNOLOGIA DA INFORMAÇÃO, PARA ELABORAÇÃO DE CADASTRO TÉCNICO MULTIFINALITÁRIO GEORREFERENCIADO ATRAVÉS DE PRODUTOS FOTOGRAMÉTRICOS, REALIZANDO A REVISÃO E ATUALIZAÇÃO DO CADASTRO IMOBILIÁRIO FISCAL URBANO COM A IMPLANTAÇÃO DE SISTEMA DE INFORMAÇÕES GEOGRÁFICAS, NO SETOR DE TRIBUTOS DO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.",05/09/2022,REVOGADA
1307.01/2022-CP,"787.999,81",CONCORRÊNCIA,15/07/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE UMA UNIDADE BÁSICA DE SAÚDE - UBS, LOCALIDADE DE CASTELHANO, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",17/08/2022,FECHADA
0407.01/2022-PE,"209.688,68",PREGÃO,14/07/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1220-01 DA PORTARIA N° 1.241/2022 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",27/07/2022,FECHADA
2406.01/2022-TP,"243.032,89","TOMADA DE PREÇOS",28/06/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO DOS POÇOS PROFUNDOS DOS SISTEMAS DE ABASTECIMENTO DE ÁGUA, JUNTO DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",18/07/2022,FECHADA
1506.01/2022-PE,"83.733,36",PREGÃO,22/06/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO/SEGURANÇA INDIVIDUAL E KITS DE SINALIZAÇÃO (INSTALAÇÃO INCLUSA) PARA MOTOCICLETAS PARA USO DA GUARDA MUNICIPAL VISANDO ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",14/07/2022,FECHADA
1406.01/2022-SRP,"3.695.372,20",PREGÃO,22/06/2022,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE EQUIPAMENTOS E GASES MEDICINAIS PARA ATENDER AS NECESSIDADES DOS SERVIÇOS DE SAÚDE OFERTADOS PELA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAU/CE.",12/07/2022,FECHADA
2006.01/2022-PE,"7.901.289,47",PREGÃO,22/06/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR DOS ALUNOS DA REDE DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.",08/07/2022,FECHADA
0306.01/2022-TP,"788.142,07","TOMADA DE PREÇOS",15/06/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE TRÊS ARENINHAS NO MUNICÍPIO DE ACARAÚ, JUNTO DA SECRETARIA DE DESPORTO E JUVENTUDE DO MUNICÍPIO DE ACARAÚ/CE.",06/07/2022,FECHADA
1306.01/2022-SRP,"854.293,40",PREGÃO,15/06/2022,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE FÓRMULAS ALIMENTARES (DIETAS ENTERAIS, FÓRMULAS INFANTIS E COMPLEMENTOS ALIMENTARES) DESTINADOS A PACIENTES COM NECESSIDADES NUTRICIONAIS E PATOLOGIAS ASSOCIADAS, ACOMPANHADOS PELO PROGRAMA MELHOR CASA - EMAD, MANTIDO PELA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ-CE.",01/07/2022,FECHADA
0206.01/2022-PE,"2.987.598,36",PREGÃO,14/06/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES PARA IMPLANTAÇÃO E FUNCIONAMENTO DO SETOR DE IMAGEM E ENFERMARIAS DO HOSPITAL REGIONAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE COM O PLANO DE TRABALHO  MAAP Nº 4886 DO CONVÊNIO Nº 043/2022 - SESA, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",28/06/2022,FECHADA
2005.01/2022-CP,"4.158.440,95",CONCORRÊNCIA,24/05/2022,"MENOR PREÇO","PAVIMENTAÇÃO ASFÁLTICA DE ESTRADA NAS LOCALIDADES DE SANTA FÉ E OLHOS D'ÁGUA NO MUNICÍPIO DE ACARAÚ/CE",27/06/2022,FECHADA
1305.01/2022-SRP,"161.466,90",PREGÃO,31/05/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS DE PROTEÇÃO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",15/06/2022,FECHADA
1805.01/2022-SRP,"1.273.890,70",PREGÃO,27/05/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",09/06/2022,FECHADA
1205.01/2022-PE,"438.972,07",PREGÃO,24/05/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1210-06 DA PORTARIA N° 2.436/2021 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",08/06/2022,FECHADA
1105.01/2022-PE,"665.400,58",PREGÃO,24/05/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE, DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA N° 11278.643000/1210-09 DA PORTARIA N° 3.702/2021 - MINISTÉRIO DA SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",07/06/2022,FECHADA
0205.01/2022-SRP,"2.323.291,92",PREGÃO,09/05/2022,"MENOR PREÇO","SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE LIVROS DIDÁTICOS E PARADIDÁTICOS PARA USO DOS ALUNOS DO ENSINO FUNDAMENTAL DA REDE DE ENSINO MUNICIPAL E ATUALIZAÇÃO DE ACERVOS BIBLIOGRÁFICOS DAS UNIDADES DE ENSINO, JUNTO À SECRETARIA DA EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ-CE.",26/05/2022,REVOGADA
2504.01/2022-TP,"32.699,97","TOMADA DE PREÇOS",09/05/2022,"MENOR PREÇO","CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM TECNOLOGIA PARA LOCAÇÃO DE SISTEMA DE ACESSO REMOTO, INCLUINDO SUPORTE TÉCNICO PARA ATENDER A SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS DO MUNICIPIO DE ACARAÚ/CE.",25/05/2022,FECHADA
1804.01/2022-SRP,"4.665.227,50",PREGÃO,09/05/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAL DE CONSUMO ODONTOLÓGICO, VISANDO ATENDER AS NECESSIDADES DAS EQUIPES DE SAÚDE BUCAL DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE",24/05/2022,FECHADA
0804.01/2022-CP,"11.222.617,37",CONCORRÊNCIA,11/04/2022,"MENOR PREÇO","PAVIMENTAÇÃO ASFÁLTICA DE ESTRADA NAS LOCALIDADES DE ARANAÚ, AROEIRA E ILHA DOS COQUEIROS NO MUNICÍPIO DE ACARAÚ/CE.",13/05/2022,FECHADA
0404.01/2022-CP,"11.936.900,00",CONCORRÊNCIA,11/04/2022,"MENOR PREÇO","REGISTRO DE PREÇOS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE SEINFRA ATUALIZADA COM DESONERAÇÃO, ACRESCIDA COM BDI DE 25,92% (VINTE E CINCO VÍRGULA NOVENTA E DOIS POR CENTO) PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES FÍSICAS PREDIAIS, COM O FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE ACARAU, CONFORME CONDIÇÕES ESPECIFICADAS NO ANEXO PROJETO BÁSICO DESTE EDITAL, PARA O PERÍODO DE 12 MESES.",12/05/2022,FECHADA
3003.01/2022-CP,"5.997.996,31",CONCORRÊNCIA,07/04/2022,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, AMPLIAÇÃO, REFORMA, MODERNIZAÇÃO, EFICIÊNCIA ENERGÉTICA INCLUINDO GESTÃO DE SOFTWARE, CALL CENTER, GEORREFERENCIAMENTO E EMPLAQUETAMENTO DO PARQUE DE ILUMINAÇÃO COM ADMINISTRAÇÃO LOCAL E DEMAIS SERVIÇOS CONSTANTES NO TERMO DE REFERÊNCIA, NO SISTEMA DE ILUMINAÇÃO PÚBLICA (IP), DA SEDE E DOS DISTRITOS DO MUNICÍPIO DE ACARAÚ/CE.",11/05/2022,FECHADA
0704.01/2022-SRP,"756.105,52",PREGÃO,18/04/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INSTALAÇÃO, CONSERTO E MANUTENÇÃO CORRETIVA/PREVENTIVA DE APARELHOS DE REFRIGERAÇÃO E ELETROELETRÔNICOS PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",05/05/2022,FECHADA
0504.01/2022-SRP,"418.492,66",PREGÃO,18/04/2022,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO E NA PRESTAÇÃO DE SERVIÇOS DE CONFECÇÃO DE FARDAMENTOS E ACESSÓRIOS PARA OS SERVIDORES DA GUARDA MUNICIPAL, DE RESPONSABILIDADE DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",04/05/2022,FECHADA
1103.01/2022-SRP,"488.537,46",PREGÃO,23/03/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS LABORATORIAIS E DE ANÁLISES CLÍNICAS, VISANDO ATENDER AS NECESSIDADES DO LABORATÓRIO DE MUNICÍPIO DE ACARAÚ/CE.",25/04/2022,FECHADA
1703.01/2022-TP,"3.218.459,28","TOMADA DE PREÇOS",24/03/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA E AMPLIAÇÃO DA E.E.I.E.F. PROFª TERESA DE JESUS SILVA - CENTRO, ACARAÚ/CE E DA E.E.I.E.F.ANTÔNIO INÁCIO FILHO - LOCALIDADE DE OLHOS D'ÁGUA, DISTRITO DE JURITIANHA NO MUNICÍPIO DE ACARAÚ/CE.",18/04/2022,FECHADA
0703.01/2022-SRP,"621.270,20",PREGÃO,23/03/2022,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LABORATÓRIO DE ANÁLISES CLÍNICAS E EXAMES LABORATORIAIS NA COLETA, ANÁLISE E DIAGNÓSTICO DAS AMOSTRAS DE MATERIAIS COLETADOS, JUNTO A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",12/04/2022,FECHADA
2502.01/2022-CP,"17.708.250,00",CONCORRÊNCIA,03/03/2022,"MENOR PREÇO","REGISTRO DE PREÇOS DO PERCENTUAL DE DESCONTO SOBRE A TABELA DE SEINFRA ATUALIZADA COM DESONERAÇÃO, ACRESCIDA COM BDI DE 25,92% (VINTE E CINCO VÍRGULA NOVENTA E DOIS POR CENTO) PARA FUTURAS E EVENTUAIS CONTRATAÇÕES DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES FÍSICAS PREDIAIS, COM O FORNECIMENTO DE MÃO DE OBRA ESPECIALIZADA, MATERIAIS E PEÇAS DE REPOSIÇÃO, QUANDO NECESSÁRIAS, PARA ATENDER AS NECESSIDADES DOS ÓRGÃOS E ENTIDADES DO MUNICÍPIO DE ACARAU, CONFORME CONDIÇÕES ESPECIFICADAS NO ANEXO PROJETO BÁSICO DESTE EDITAL, PARA O PERÍODO DE 12 MESES.",07/04/2022,REVOGADA
0803.01/2022-SRP,"1.912.941,34",PREGÃO,22/03/2022,"MENOR PREÇO","SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE PNEUS, CÂMARAS DE AR E PROTETORES DESTINADOS À MANUTENÇÃO DA FROTA OFICIAL DE VEÍCULOS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",06/04/2022,FECHADA
2202.01/2022-CP,"3.300.384,64",CONCORRÊNCIA,23/02/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA PRIMEIRA ETAPA DO CENTRO ADMINISTRATIVO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",05/04/2022,FECHADA
2102.01/2022-CP,"3.338.350,30",CONCORRÊNCIA,23/02/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E ADEQUAÇÃO DO MERCADO PÚBLICO, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",31/03/2022,FECHADA
1102.01/2022-CP,"1.945.176,89",CONCORRÊNCIA,23/02/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA URBANIZAÇÃO E REFORMA DA PRAÇA DA MATRIZ, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",29/03/2022,FECHADA
1602.01/2022-SRP,"3.783.651,55",PREGÃO,25/02/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",16/03/2022,FECHADA
1702.01/2022-SRP,"944.867,66",PREGÃO,25/02/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS E MATERIAIS PERMANENTES DESTINADOS AOS EQUIPAMENTOS DA SECRETARIA DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE ACARAÚ/CE.",14/03/2022,FECHADA
1102.02/2022-PE,"1.471.130,71",PREGÃO,22/02/2022,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES PARA IMPLANTAÇÃO E FUNCIONAMENTO DO SETOR DE URGÊNCIA/EMERGÊNCIA DO HOSPITAL REGIONAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE COM O PLANO DE TRABALHO - MAAP N° 4620 DO CONVÊNIO N° 015/2021 - SESA, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",08/03/2022,FECHADA
2401.01/2022-CP,"1.621.330,70",CONCORRÊNCIA,01/02/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE - UBS, TIPO I, LOCALIDADES DE ILHA DOS COQUEIROS E CAUASSÚ, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",07/03/2022,FECHADA
1801.01/2022-SRP,"183.940,02",PREGÃO,28/01/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE VEÍCULOS NOVOS, 0 (ZERO) KM, TIPO MOTOCICLETA, DESTINADOS A GUARDA MUNICIPAL DE RESPONSABILIDADE DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ/CE.",28/02/2022,FECHADA
0612.01/2021-TP,"258.480,00","TOMADA DE PREÇOS",25/01/2022,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA EM GESTÃO DE POLÍTICAS PÚBLICAS NA ÁREA DE EDUCAÇÃO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",18/02/2022,FECHADA
1401.01/2022-SRP,"89.009,84",PREGÃO,27/01/2022,"MENOR PREÇO","SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS LÚDICOS, PEDAGÓGICOS E ESPORTIVOS PARA ATENDER ÀS NECESSIDADES DAS EQUIPES DO NASF (NÚCLEO DE APOIO À SAÚDE DA FAMÍLIA), JUNTO À SECRETARIA DA SAÚDE DO MUNICÍPIO DE ACARAÚ-CE",10/02/2022,FECHADA
1101.01/2022-PE,"10.337.917,90",PREGÃO,21/01/2022,"MENOR PREÇO","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO ATENDIMENTO DOS PROGRAMAS DE DISTRIBUIÇÃO DE MERENDA ESCOLAR DA REDE PÚBLICA DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.",04/02/2022,FECHADA
0301.01/2022-SRP,"2.884.296,35",PREGÃO,10/01/2022,"MENOR PREÇO","SELEÇÃO DA MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE COLEÇÕES E LIVROS DIDÁTICOS DA EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL E DE LIVROS E KITS DIDÁTICOS PARA PROFESSORES DA REDE DE ENSINO MUNICIPAL, JUNTO À SECRETARIA DA EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ-CE.",26/01/2022,FECHADA
0601.01/2022-SRP,"10.345.240,00",PREGÃO,10/01/2022,"MENOR PREÇO","REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE COMBUSTÍVEIS DERIVADOS DE PETRÓLEO E ARLA 32 PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",25/01/2022,FECHADA
2012.02/2021-SRP,"2.010.745,71",PREGÃO,06/01/2022,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE EQUIPAMENTOS E MATERIAIS PERMANENTES DESTINADOS AS UNIDADES BASICAS DE SAÚDE, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",24/01/2022,FECHADA
2012.01/2021-SRP,"1.554.992,61",PREGÃO,29/12/2021,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E NO FORNECIMENTO DE UNIFORMES ESCOLARES DESTINADOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",12/01/2022,FECHADA
1412.01/2021-SRP,"1.821.259,55",PREGÃO,23/12/2021,"MENOR PREÇO","SELEÇÃO DE MELHOR PROPOSTA PARA REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE URNAS MORTUÁRIAS E KIT FUNERAL, BEM COMO SERVIÇO DE TRANSLADO PARA CONCESSÃO DE BENEFÍCIOS EVENTUAIS JUNTO A SECRETARIA DE ASSISTÊNCIA SOCIAL DE ACARAÚ/CE",10/01/2022,FECHADA
1012.02/2021-SRP,"974.280,40",PREGÃO,21/12/2021,"MENOR PREÇO","REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE RECARGA GÁS LIQUEFEITO DO PETRÓLEO (GLP) E BOTIJÃO DE GÁS GLP VAZIO (VASILHAME DE 13 KG) PARA SUPRIR AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",07/01/2022,FECHADA
0312.02/2021-PE,"390.876,98",PREGÃO,17/12/2021,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES DESTINADOS ÀS UNIDADES BÁSICAS DE SAÚDE, CONFORME PROPOSTA Nº 11278.643000/1210-06-MS, JUNTO À SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",06/01/2022,FECHADA
0312.01/2021-TP,"150.000,00","TOMADA DE PREÇOS",15/12/2021,"MENOR PREÇO","CONTRATAÇÃO NA PRESTAÇÃO DE SERVIÇOS NO PROCESSAMENTO, GERAÇÃO E TRANSMISSÃO DOS ARQUIVOS DE INDIVIDUALIZAÇÃO DAS GUIAS DE RECOLHIMENTO DO FGTS-CEF, PREVIDÊNCIA SOCIAL-GFIP, ARQUIVOS REMETIDOS PARA GERAÇÃO DE DECLARAÇÃO DE DÉBITO E CRÉDITO TRIBUTÁRIOS FEDERAIS (FISCAL E TRABALHISTA) E ASSESSORIA ADMINISTRATIVA E PREVIDENCIÁRIA COM ACOMPANHAMENTO DE PROCESSOS ADMINISTRATIVOS NA RECEITA FEDERAL DO BRASIL-RFB E NA PROCURADORIA GERAL DA FAZENDA NACIONAL - PGR E SUPORTE NA REGULARIZAÇÃO DE INFORMAÇÕES PARA EMISSÃO DAS CERTIDÕES DE REGULARIDADE FISCAL DO MUNICÍPIO DE ACARAÚ-CE.",05/01/2022,FECHADA
1012.01/2021-SRP,"10.345.240,00",PREGÃO,15/12/2021,"MENOR PREÇO","REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE COMBUSTÍVEIS DERIVADOS DE PETRÓLEO E ARLA 32 PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE.",29/12/2021,DESERTA
1011.01/2021-CP,"1.115.953,86",CONCORRÊNCIA,18/11/2021,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇAO EM INTERTRAVADO NA RUA DE ACESSO A PRAIA DA BARRINHA, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",22/12/2021,FECHADA
1011.02/2021-CP,"2.361.716,17",CONCORRÊNCIA,12/11/2021,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NO BURITI, CURRAL VELHO, MORADA NOVA E CAUASSU DE DENTRO, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",16/12/2021,FECHADA
1811.01/2021-SRP,"2.788.307,17",PREGÃO,24/11/2021,"MENOR PREÇO","REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS DE CONSTRUÇÃO, HIDRÁULICOS, ELÉTRICOS E FERRAMENTAS PARA ATENDER AS NECESSIDADES DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",15/12/2021,FECHADA
1910.01/2021-CP,"4.004.773,43",CONCORRÊNCIA,11/11/2021,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA AMPLIAÇÃO DO HOSPITAL MUNICIPAL DE ACARAÚ/CE - ETAPA II, JUNTO A SECRETARIA DE SAÚDE NO MUNICÍPIO DE ACARAÚ/CE.",13/12/2021,FECHADA
1611.01/2021-TP,"1.613.514,00","TOMADA DE PREÇOS",18/11/2021,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE - UBS, TIPO I, BAIRROS DE SAGUIM E NO CÓRREGO DAS VARAS, JUNTO DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",07/12/2021,FECHADA
